city_name,province_name,value,date
长春市,吉林省,27.85,20200101
松原市,吉林省,18.74,20200101
兴安盟,内蒙古自治区,18.68,20200101
齐齐哈尔市,黑龙江省,5.18,20200101
通辽市,内蒙古自治区,3.28,20200101
沈阳市,辽宁省,3.12,20200101
四平市,吉林省,2.85,20200101
吉林市,吉林省,2.54,20200101
大庆市,黑龙江省,2.34,20200101
北京市,北京市,1.51,20200101
哈尔滨市,黑龙江省,1.43,20200101
大连市,辽宁省,1.31,20200101
天津市,天津市,0.59,20200101
赤峰市,内蒙古自治区,0.59,20200101
呼伦贝尔市,内蒙古自治区,0.53,20200101
延边朝鲜族自治州,吉林省,0.48,20200101
通化市,吉林省,0.45,20200101
锦州市,辽宁省,0.4,20200101
铁岭市,辽宁省,0.38,20200101
绥化市,黑龙江省,0.32,20200101
葫芦岛市,辽宁省,0.29,20200101
廊坊市,河北省,0.29,20200101
营口市,辽宁省,0.25,20200101
白山市,吉林省,0.25,20200101
保定市,河北省,0.25,20200101
鞍山市,辽宁省,0.23,20200101
承德市,河北省,0.22,20200101
秦皇岛市,河北省,0.2,20200101
辽源市,吉林省,0.19,20200101
青岛市,山东省,0.19,20200101
上海市,上海市,0.16,20200101
西安市,陕西省,0.16,20200101
唐山市,河北省,0.14,20200101
辽阳市,辽宁省,0.14,20200101
丹东市,辽宁省,0.14,20200101
济南市,山东省,0.13,20200101
牡丹江市,黑龙江省,0.13,20200101
呼和浩特市,内蒙古自治区,0.13,20200101
潍坊市,山东省,0.13,20200101
阳泉市,山西省,0.13,20200101
广州市,广东省,0.13,20200101
阜新市,辽宁省,0.11,20200101
黑河市,黑龙江省,0.11,20200101
朝阳市,辽宁省,0.1,20200101
沧州市,河北省,0.1,20200101
三亚市,海南省,0.08,20200101
石家庄市,河北省,0.07,20200101
本溪市,辽宁省,0.07,20200101
徐州市,江苏省,0.07,20200101
苏州市,江苏省,0.07,20200101
长春市,吉林省,31.15,20200102
松原市,吉林省,15.5,20200102
兴安盟,内蒙古自治区,12.71,20200102
沈阳市,辽宁省,4.2,20200102
齐齐哈尔市,黑龙江省,3.86,20200102
通辽市,内蒙古自治区,2.89,20200102
北京市,北京市,2.66,20200102
吉林市,吉林省,2.6,20200102
四平市,吉林省,2.22,20200102
大庆市,黑龙江省,1.94,20200102
哈尔滨市,黑龙江省,1.77,20200102
大连市,辽宁省,1.73,20200102
呼伦贝尔市,内蒙古自治区,0.72,20200102
锦州市,辽宁省,0.71,20200102
延边朝鲜族自治州,吉林省,0.71,20200102
天津市,天津市,0.68,20200102
通化市,吉林省,0.63,20200102
青岛市,山东省,0.54,20200102
赤峰市,内蒙古自治区,0.54,20200102
绥化市,黑龙江省,0.51,20200102
白山市,吉林省,0.49,20200102
铁岭市,辽宁省,0.42,20200102
廊坊市,河北省,0.37,20200102
秦皇岛市,河北省,0.37,20200102
营口市,辽宁省,0.36,20200102
潍坊市,山东省,0.33,20200102
鞍山市,辽宁省,0.33,20200102
唐山市,河北省,0.32,20200102
盘锦市,辽宁省,0.29,20200102
三亚市,海南省,0.26,20200102
辽源市,吉林省,0.26,20200102
保定市,河北省,0.23,20200102
上海市,上海市,0.21,20200102
葫芦岛市,辽宁省,0.21,20200102
南京市,江苏省,0.21,20200102
朝阳市,辽宁省,0.21,20200102
锡林郭勒盟,内蒙古自治区,0.19,20200102
承德市,河北省,0.19,20200102
呼和浩特市,内蒙古自治区,0.18,20200102
阜新市,辽宁省,0.18,20200102
广州市,广东省,0.16,20200102
成都市,四川省,0.14,20200102
苏州市,江苏省,0.14,20200102
牡丹江市,黑龙江省,0.14,20200102
丹东市,辽宁省,0.12,20200102
辽阳市,辽宁省,0.12,20200102
德州市,山东省,0.12,20200102
沧州市,河北省,0.12,20200102
深圳市,广东省,0.11,20200102
西安市,陕西省,0.11,20200102
长春市,吉林省,27.95,20200103
松原市,吉林省,19.79,20200103
兴安盟,内蒙古自治区,14.56,20200103
齐齐哈尔市,黑龙江省,4.97,20200103
沈阳市,辽宁省,3.62,20200103
通辽市,内蒙古自治区,2.96,20200103
四平市,吉林省,2.92,20200103
北京市,北京市,2.21,20200103
吉林市,吉林省,1.98,20200103
大庆市,黑龙江省,1.91,20200103
哈尔滨市,黑龙江省,1.71,20200103
大连市,辽宁省,1.35,20200103
呼伦贝尔市,内蒙古自治区,0.93,20200103
天津市,天津市,0.81,20200103
通化市,吉林省,0.75,20200103
延边朝鲜族自治州,吉林省,0.61,20200103
赤峰市,内蒙古自治区,0.51,20200103
辽源市,吉林省,0.43,20200103
鞍山市,辽宁省,0.38,20200103
营口市,辽宁省,0.34,20200103
铁岭市,辽宁省,0.32,20200103
廊坊市,河北省,0.3,20200103
保定市,河北省,0.29,20200103
青岛市,山东省,0.29,20200103
辽阳市,辽宁省,0.28,20200103
锦州市,辽宁省,0.27,20200103
绥化市,黑龙江省,0.25,20200103
盘锦市,辽宁省,0.24,20200103
秦皇岛市,河北省,0.24,20200103
上海市,上海市,0.23,20200103
承德市,河北省,0.23,20200103
潍坊市,山东省,0.22,20200103
黑河市,黑龙江省,0.2,20200103
白山市,吉林省,0.18,20200103
葫芦岛市,辽宁省,0.16,20200103
唐山市,河北省,0.16,20200103
深圳市,广东省,0.15,20200103
阜新市,辽宁省,0.14,20200103
沧州市,河北省,0.13,20200103
锡林郭勒盟,内蒙古自治区,0.13,20200103
朝阳市,辽宁省,0.11,20200103
郑州市,河南省,0.11,20200103
三亚市,海南省,0.1,20200103
石家庄市,河北省,0.1,20200103
牡丹江市,黑龙江省,0.1,20200103
济南市,山东省,0.09,20200103
杭州市,浙江省,0.09,20200103
呼和浩特市,内蒙古自治区,0.09,20200103
成都市,四川省,0.09,20200103
广州市,广东省,0.08,20200103
长春市,吉林省,26.6,20200104
兴安盟,内蒙古自治区,18.37,20200104
松原市,吉林省,17.52,20200104
齐齐哈尔市,黑龙江省,5.47,20200104
沈阳市,辽宁省,3.21,20200104
通辽市,内蒙古自治区,2.86,20200104
四平市,吉林省,2.73,20200104
北京市,北京市,2.39,20200104
大庆市,黑龙江省,2.37,20200104
吉林市,吉林省,2.25,20200104
大连市,辽宁省,1.56,20200104
哈尔滨市,黑龙江省,1.41,20200104
通化市,吉林省,1.02,20200104
呼伦贝尔市,内蒙古自治区,0.6,20200104
延边朝鲜族自治州,吉林省,0.52,20200104
赤峰市,内蒙古自治区,0.49,20200104
天津市,天津市,0.45,20200104
铁岭市,辽宁省,0.45,20200104
辽源市,吉林省,0.37,20200104
绥化市,黑龙江省,0.32,20200104
上海市,上海市,0.32,20200104
阜新市,辽宁省,0.3,20200104
廊坊市,河北省,0.3,20200104
锦州市,辽宁省,0.28,20200104
鞍山市,辽宁省,0.28,20200104
葫芦岛市,辽宁省,0.26,20200104
保定市,河北省,0.25,20200104
锡林郭勒盟,内蒙古自治区,0.23,20200104
唐山市,河北省,0.19,20200104
青岛市,山东省,0.16,20200104
丹东市,辽宁省,0.16,20200104
营口市,辽宁省,0.16,20200104
三亚市,海南省,0.15,20200104
白山市,吉林省,0.14,20200104
深圳市,广东省,0.14,20200104
贵阳市,贵州省,0.14,20200104
盘锦市,辽宁省,0.13,20200104
秦皇岛市,河北省,0.13,20200104
辽阳市,辽宁省,0.13,20200104
牡丹江市,黑龙江省,0.12,20200104
石家庄市,河北省,0.11,20200104
呼和浩特市,内蒙古自治区,0.11,20200104
苏州市,江苏省,0.11,20200104
济南市,山东省,0.1,20200104
潍坊市,山东省,0.1,20200104
抚顺市,辽宁省,0.1,20200104
太原市,山西省,0.09,20200104
承德市,河北省,0.08,20200104
济宁市,山东省,0.08,20200104
南京市,江苏省,0.08,20200104
长春市,吉林省,32.26,20200105
兴安盟,内蒙古自治区,16.53,20200105
松原市,吉林省,15.68,20200105
齐齐哈尔市,黑龙江省,4.78,20200105
沈阳市,辽宁省,3.75,20200105
通辽市,内蒙古自治区,3.05,20200105
四平市,吉林省,2.6,20200105
吉林市,吉林省,2.14,20200105
北京市,北京市,1.93,20200105
大庆市,黑龙江省,1.8,20200105
哈尔滨市,黑龙江省,1.53,20200105
大连市,辽宁省,1.16,20200105
延边朝鲜族自治州,吉林省,0.67,20200105
赤峰市,内蒙古自治区,0.61,20200105
呼伦贝尔市,内蒙古自治区,0.57,20200105
上海市,上海市,0.51,20200105
通化市,吉林省,0.47,20200105
辽源市,吉林省,0.43,20200105
天津市,天津市,0.41,20200105
葫芦岛市,辽宁省,0.34,20200105
铁岭市,辽宁省,0.32,20200105
青岛市,山东省,0.28,20200105
锦州市,辽宁省,0.28,20200105
绥化市,黑龙江省,0.27,20200105
鞍山市,辽宁省,0.26,20200105
营口市,辽宁省,0.26,20200105
丹东市,辽宁省,0.23,20200105
保定市,河北省,0.23,20200105
辽阳市,辽宁省,0.21,20200105
济南市,山东省,0.21,20200105
廊坊市,河北省,0.19,20200105
秦皇岛市,河北省,0.19,20200105
唐山市,河北省,0.18,20200105
黑河市,黑龙江省,0.17,20200105
锡林郭勒盟,内蒙古自治区,0.17,20200105
本溪市,辽宁省,0.16,20200105
盘锦市,辽宁省,0.16,20200105
白山市,吉林省,0.16,20200105
石家庄市,河北省,0.14,20200105
呼和浩特市,内蒙古自治区,0.14,20200105
深圳市,广东省,0.12,20200105
承德市,河北省,0.12,20200105
广州市,广东省,0.12,20200105
沧州市,河北省,0.12,20200105
德州市,山东省,0.11,20200105
贵阳市,贵州省,0.11,20200105
